Bulan,Kota,Malaysia,Filipina,Singapura,Thailand,Vietnam,Tiongkok,India,Australia
Jan-21,DKI Jakarta,15,16,9,6,1,61,10,26
Jan-21,Bali,1,0,0,0,0,0,0,0
Jan-21,Surabaya,1,0,0,0,0,0,0,0
Jan-21,Medan,0,0,0,0,0,0,0,0
Jan-21,Yogyakarta,0,0,0,0,0,0,0,0
Jan-21,Batam,0,1,0,0,0,0,0,0
Feb-21,DKI Jakarta,103,102,45,93,11,933,280,134
Feb-21,Bali,0,6,0,0,0,0,0,0
Feb-21,Surabaya,1,0,2,2,0,5,0,2
Feb-21,Medan,5,0,1,0,0,0,0,0
Feb-21,Yogyakarta,0,0,0,0,0,0,0,0
Feb-21,Batam,15,1,15,0,0,1,4,
Mar-21,DKI Jakarta,105,271,77,115,18,"4,823",231,109
Mar-21,Bali,0,0,0,0,0,0,0,0
Mar-21,Surabaya,1,1,4,1,0,1,0,2
Mar-21,Medan,7,0,1,0,2,1,0,1
Mar-21,Yogyakarta,0,0,0,0,0,0,0,0
Mar-21,Batam,16,4,32,0,0,4,3,6
Apr-21,DKI Jakarta,206,347,86,207,59,"6,074",528,204
Apr-21,Bali,0,0,1,0,0,0,0,0
Apr-21,Surabaya,7,3,10,0,0,17,1,2
Apr-21,Medan,12,0,0,0,0,2,0,0
Apr-21,Yogyakarta,0,0,0,0,0,0,0,0
Apr-21,Batam,17,1,59,0,0,6,6,4
May-21,DKI Jakarta,216,351,94,156,23,"3,026",31,210
May-21,Bali,0,0,0,0,0,0,0,0
May-21,Surabaya,12,3,6,0,0,6,0,2
May-21,Medan,17,0,2,0,1,4,0,0
May-21,Yogyakarta,0,0,0,0,0,0,0,0
May-21,Batam,20,3,43,2,0,2,1,3
Jun-21,DKI Jakarta,243,229,82,131,23,3154,25,228
Jun-21,Bali,0,0,0,0,0,0,0,0
Jun-21,Surabaya,21,11,2,1,1,15,3,3
Jun-21,Medan,16,0,3,3,1,1,0,0
Jun-21,Yogyakarta,0,0,0,0,0,0,0,0
Jun-21,Batam,23,3,40,0,0,0,1,1
Jul-21,DKI Jakarta,38,34,40,32,6,1401,7,122
Jul-21,Bali,0,0,0,0,0,0,0,0
Jul-21,Surabaya,5,1,4,0,0,10,0,0
Jul-21,Medan,7,0,1,0,0,0,0,0
Jul-21,Yogyakarta,0,0,0,0,0,0,0,0
Jul-21,Batam,4,1,22,0,0,3,0,3
Aug-21,DKI Jakarta,9,5,6,4,5,9,5,21
Aug-21,Bali,0,0,0,0,0,0,0,0
Aug-21,Surabaya,0,0,0,0,0,0,0,0
Aug-21,Medan,0,0,3,0,0,0,0,0
Aug-21,Yogyakarta,0,0,0,0,0,0,0,0
Aug-21,Batam,0,0,14,0,0,0,0,0
Sep-21,DKI Jakarta,90,57,58,37,4,684,15,110
Sep-21,Bali,0,0,0,0,0,0,0,0
Sep-21,Surabaya,0,0,0,0,0,0,0,0
Sep-21,Medan,0,0,0,0,0,0,0,0
Sep-21,Yogyakarta,0,0,0,0,0,0,0,0
Sep-21,Batam,8,0,17,0,0,3,0,1
Oct-21,DKI Jakarta,437,313,191,152,12,3128,771,210
Oct-21,Bali,0,0,0,0,0,0,0,0
Oct-21,Surabaya,0,0,0,0,0,0,0,0
Oct-21,Medan,0,0,0,0,0,0,0,0
Oct-21,Yogyakarta,0,0,0,0,0,0,0,0
Oct-21,Batam,33,2,45,0,0,1,1,0
Nov-21,DKI Jakarta,667,550,341,173,31,3070,1083,389
